(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_compress_output_start))
(VAR nondef.0 nondef.11 nondef.12 nondef.5 nondef.6 nondef.7 nondef.8 nondef.9 v_MCU_col_num.0 v_ci.0 v_ci.1 v_xindex.0 v_yindex.0 v_yoffset.0)
(RULES
  eval_compress_output_start(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb0_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_bb7_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_46(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0)) :|: v_ci.1 >= nondef.9
  eval_compress_output_bb9_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb11_in(v_MCU_col_num.0, v_ci.0, v_ci.1, 0, v_yindex.0, v_yoffset.0)) :|: v_yindex.0 < nondef.11
  eval_compress_output_bb9_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb7_in(v_MCU_col_num.0, v_ci.0, v_ci.1 + 1, v_xindex.0, v_yindex.0, v_yoffset.0)) :|: v_yindex.0 >= nondef.11
  eval_compress_output_bb11_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb11_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0 + 1, v_yindex.0, v_yoffset.0)) :|: v_xindex.0 < nondef.12
  eval_compress_output_bb11_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb9_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0 + 1, v_yoffset.0)) :|: v_xindex.0 >= nondef.12
  eval_compress_output_46(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_47(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_47(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb6_in(v_MCU_col_num.0 + 1, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_47(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb20_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_59(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_2(eval_start_iMCU_row_start(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0), eval_compress_output_60(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_60(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb20_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_bb20_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_stop(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
)
